epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5908,1.54392,4.93987,1.78119,3e-05,0.01786,2e-05,0,nan,nan,nan,0.000648148,0.000648148,0.000648148
2,44.0041,2.21145,3.39263,2.36659,0,0,0,0,nan,nan,nan,0.00128878,0.00128878,0.00128878
3,72.659,2.40837,3.38134,2.44288,0,0,0,0,nan,nan,nan,0.00190301,0.00190301,0.00190301
4,101.285,2.28816,3.20635,2.4138,0.00058,0.03571,0.00029,6e-05,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,131.646,2.15338,3.02323,2.33965,0.18163,0.21429,0.19664,0.07943,1.80911,904.259,4.0018,0.0018416,0.0018416,0.0018416
6,160.793,1.90243,2.65051,2.10395,0.04906,0.07143,0.01365,0.00519,1.9237,377.214,2.4274,0.001802,0.001802,0.001802
7,187.645,1.81655,2.45378,2.02891,0.00512,0.125,0.00294,0.00104,2.27575,80.0288,2.33613,0.0017624,0.0017624,0.0017624
8,214.943,1.73165,2.19932,1.99082,0.37905,0.23214,0.21106,0.08618,1.61769,94.3645,2.02029,0.0017228,0.0017228,0.0017228
9,244.04,1.56512,2.04161,1.84982,0.50249,0.30357,0.34538,0.18561,1.35104,34.6982,1.6344,0.0016832,0.0016832,0.0016832
10,272.798,1.60627,1.94335,1.87224,0.48926,0.32143,0.38892,0.22809,1.23395,22.3241,1.53174,0.0016436,0.0016436,0.0016436
11,301.848,1.52696,1.76999,1.76089,0.47101,0.35714,0.36298,0.20714,1.45543,25.1486,1.87104,0.001604,0.001604,0.001604
12,329.404,1.41751,1.68438,1.6828,0.40933,0.375,0.31439,0.17464,1.44143,46.296,1.74186,0.0015644,0.0015644,0.0015644
13,357.151,1.32474,1.54003,1.63568,0.64654,0.5,0.52886,0.35892,1.07629,15.9952,1.40918,0.0015248,0.0015248,0.0015248
14,386.822,1.36965,1.52021,1.66755,0.76335,0.71429,0.77775,0.514,0.87217,13.8343,1.1615,0.0014852,0.0014852,0.0014852
15,416.487,1.25552,1.51747,1.57224,0.74888,0.51786,0.63462,0.46862,0.87138,12.11,1.15603,0.0014456,0.0014456,0.0014456
16,444.434,1.21158,1.35951,1.51796,0.476,0.57143,0.52179,0.36569,0.8599,72.3961,1.17776,0.001406,0.001406,0.001406
17,471.351,1.21723,1.39452,1.54498,0.76919,0.67857,0.81412,0.60345,0.75972,1.63507,1.10923,0.0013664,0.0013664,0.0013664
18,500.75,1.19485,1.35959,1.515,0.70936,0.69733,0.80044,0.60777,0.73582,4.4462,1.07973,0.0013268,0.0013268,0.0013268
19,530.474,1.1641,1.23943,1.49635,0.87189,0.68055,0.82108,0.63021,0.77482,2.70717,1.04769,0.0012872,0.0012872,0.0012872
20,559.552,1.15435,1.2657,1.50316,0.82779,0.80689,0.86586,0.67442,0.73853,12.2016,1.08737,0.0012476,0.0012476,0.0012476
21,588.877,1.05468,1.15793,1.42051,0.92219,0.75,0.85953,0.66823,0.75838,12.5176,1.05011,0.001208,0.001208,0.001208
22,615.889,1.00942,1.05099,1.39328,0.86865,0.85714,0.91846,0.73488,0.67315,4.22434,1.01506,0.0011684,0.0011684,0.0011684
23,645.351,0.99237,1.03655,1.37029,0.9681,0.82143,0.92916,0.72804,0.6424,1.60796,0.96514,0.0011288,0.0011288,0.0011288
24,673.701,0.96355,0.97275,1.35836,0.92439,0.75,0.88155,0.74151,0.5838,8.50844,0.9195,0.0010892,0.0010892,0.0010892
25,703.009,0.95773,0.99816,1.34619,0.91522,0.82143,0.93093,0.75368,0.69099,2.97769,1.0023,0.0010496,0.0010496,0.0010496
26,732.33,0.95347,0.9842,1.31822,0.84276,0.64286,0.78759,0.61198,0.74007,1.29297,1.06061,0.00101,0.00101,0.00101
27,759.801,0.91437,0.96799,1.33357,0.97378,0.82143,0.94676,0.78081,0.57757,2.22776,0.89129,0.0009704,0.0009704,0.0009704
28,789.243,0.84253,0.87244,1.2607,0.93917,0.80357,0.91357,0.72183,0.65951,9.59735,0.97777,0.0009308,0.0009308,0.0009308
29,817.166,0.88493,0.86928,1.31741,0.88873,0.89286,0.94992,0.80238,0.55898,0.64845,0.88528,0.0008912,0.0008912,0.0008912
30,846.541,0.9028,0.87138,1.30902,1,0.85949,0.97762,0.81828,0.52923,0.70071,0.87594,0.0008516,0.0008516,0.0008516
31,876.588,0.848,0.8669,1.29037,0.97476,0.875,0.97558,0.82299,0.51446,2.10237,0.86492,0.000812,0.000812,0.000812
32,905.427,0.83153,0.8294,1.25254,0.95383,0.76786,0.9401,0.80051,0.49427,3.15358,0.83912,0.0007724,0.0007724,0.0007724
33,932.93,0.81535,0.85296,1.26972,0.93452,0.89286,0.96462,0.83635,0.47642,1.48253,0.83347,0.0007328,0.0007328,0.0007328
34,963.23,0.74537,0.74129,1.21104,0.99819,0.89286,0.97572,0.84964,0.46057,0.51353,0.82144,0.0006932,0.0006932,0.0006932
35,992.324,0.72351,0.69666,1.16153,0.92938,0.89305,0.97545,0.86402,0.41585,0.74859,0.79122,0.0006536,0.0006536,0.0006536
36,1022.03,0.71508,0.71212,1.17797,1,0.91251,0.98995,0.87891,0.42455,0.42512,0.78614,0.000614,0.000614,0.000614
37,1051.24,0.65674,0.6359,1.14065,0.99231,0.94643,0.98904,0.88913,0.39188,1.03279,0.76598,0.0005744,0.0005744,0.0005744
38,1080.25,0.68215,0.66277,1.14869,0.96696,0.92857,0.98593,0.87819,0.40947,0.45684,0.77374,0.0005348,0.0005348,0.0005348
39,1107.62,0.69669,0.69175,1.16102,0.9455,0.92942,0.98521,0.90122,0.37342,0.58316,0.75482,0.0004952,0.0004952,0.0004952
40,1136.64,0.63803,0.63042,1.13337,0.96645,0.92857,0.98343,0.88666,0.38089,2.38825,0.7428,0.0004556,0.0004556,0.0004556
41,1165.07,0.62648,0.62952,1.09519,0.99823,0.92857,0.99066,0.90234,0.40217,0.54799,0.75065,0.000416,0.000416,0.000416
42,1194.75,0.59328,0.57641,1.1446,0.97646,0.92857,0.98761,0.90497,0.36251,0.38725,0.72506,0.0003764,0.0003764,0.0003764
43,1224.16,0.52809,0.48724,1.05121,0.99603,0.89582,0.98672,0.8973,0.3722,0.5217,0.72416,0.0003368,0.0003368,0.0003368
44,1251.38,0.50479,0.44081,1.03843,0.95578,0.96429,0.99134,0.88272,0.36462,0.34517,0.72076,0.0002972,0.0002972,0.0002972
45,1278.11,0.46098,0.41882,0.9762,0.9919,0.98214,0.99402,0.92803,0.30477,0.34672,0.70478,0.0002576,0.0002576,0.0002576
46,1306.82,0.44646,0.39611,1.0096,0.99637,1,0.99472,0.93397,0.28903,0.29472,0.68711,0.000218,0.000218,0.000218
47,1335.27,0.4428,0.39993,1.02921,0.99841,0.98214,0.99466,0.93509,0.29628,0.27346,0.68459,0.0001784,0.0001784,0.0001784
48,1363.76,0.43853,0.39267,1.01941,0.99898,0.96429,0.9935,0.9403,0.28559,0.25294,0.67561,0.0001388,0.0001388,0.0001388
49,1393.56,0.42833,0.39156,1.03594,0.99294,1,0.99475,0.93947,0.28102,0.28758,0.68245,9.92e-05,9.92e-05,9.92e-05
50,1420.34,0.39361,0.36438,0.96951,0.97894,1,0.99472,0.95181,0.27408,0.25925,0.67859,5.96e-05,5.96e-05,5.96e-05
